Product_Name,Features,Original_Price,Current_Price
"IQOO neo 7 pro (Fearless Flame, 128 GB)","['8 GB RAM | 128 GB ROM', '17.2 cm (6.77 inch) Display', '50MP Rear Camera', '5000 mAh Battery', '1 year']","₹39,999","₹32,860"
"IQOO Neo 7 Pro (Dark Strom, 128 GB)","['8 GB RAM | 128 GB ROM', '17.22 cm (6.78 inch) Display', '50MP Rear Camera', '5000 mAh Battery', 'Domestic 1 Year of Device & 6 Months\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tfor In-Box Accessories']","₹41,990","₹35,990"
"IQOO Neo9 Pro (Conqueror Black, 128 GB)","['8 GB RAM | 128 GB ROM', '17.22 cm (6.78 inch) Display', '50MP Rear Camera', '5160 mAh Battery', '1 Year']","₹39,999","₹38,888"
"IQOO Neo9 Pro (Conqueror Black, 256 GB)","['12 GB RAM | 256 GB ROM', '17.22 cm (6.78 inch) Display', '50MP Rear Camera', '5160 mAh Battery', '1 Year']","₹39,999","₹44,999"
"IQOO NEO9 PRO (Fiery Red, 128 GB)","['8 GB RAM | 128 GB ROM', '17.22 cm (6.78 inch) Display', '50MP Rear Camera', '5160 mAh Battery', '1 Year']","₹41,999","₹39,000"
"IQOO Neo 9 Pro (Fiery Red, 256 GB)","['8 GB RAM | 256 GB ROM', '17.22 cm (6.78 inch) Display', '50MP Rear Camera', '5160 mAh Battery', '1 Year on Handset and 6 Months on\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAccessories']","₹41,999","₹38,499"
"IQOO Neo 9 Pro (Conqueror Black, 256 GB)","['8 GB RAM | 256 GB ROM', '17.22 cm (6.78 inch) Display', '50MP Rear Camera', '5160 mAh Battery', '1 Year on Handset and 6 Months on\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tAccessories']","₹44,999","₹38,279"
"IQOO Neo 9 Pro (Conqueror Black, 256 GB)","['12 GB RAM | 256 GB ROM', '17.22 cm (6.78 inch) Display', '50MP Rear Camera', '5160 mAh Battery', '1 Year']","₹42,999","₹39,900"
"IQOO Neo 7 Pro (Dark Storm, 256 GB)","['12 GB RAM | 256 GB ROM', '17.22 cm (6.78 inch) Display', '50MP Rear Camera', '5000 mAh Battery', 'Domestic 1 Year of Device & 6 Months\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tfor In-Box Accessories']","₹42,999","₹35,546"
"IQOO Neo 7 pro (Fearless Flame, 256 GB)","['12 GB RAM | 256 GB ROM', '17.22 cm (6.78 inch) Display', '50MP Rear Camera', '5000 mAh Battery', 'Domestic 1 Year of Device & 6 Months\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\tfor In-Box Accessories']","₹44,999","₹35,099"
"IQOO NEO9 PRO (Fiery Red, 256 GB)","['12 GB RAM | 256 GB ROM', '17.22 cm (6.78 inch) Display', '50MP Rear Camera', '5160 mAh Battery', '1 Year']","₹41,999","₹38,995"
"IQOO Neo9 Pro (Conqueror Black, 256 GB)","['8 GB RAM | 256 GB ROM', '17.22 cm (6.78 inch) Display', '50MP Rear Camera', '5160 mAh Battery', '1 Year']","₹41,999","₹37,778"
